# hideout/units — <file>  <expected OCR name>  (whole requirement tile: icon + name + count)
# Crops placed from each capture's .ocr-debug strip geometry: column pitch + Theil-Sen row line.
# `#hard <file> <name>` = OCR'd + reported but not gated (engine can't read that
# tile in isolation — an OCR-improvement target, not a regression).
# Ledger re-baselined for the PP-OCR engine (#181): the 7 tiles the WinRT
# engine couldn't read in isolation (busy icons / tiny angled names) all read
# now; the engine's own stable confusion is the stylised "Oil can" label
# ("Oil" → "dil"), so those two tiles are the hard set.

BookcaseLv1__misc_b_civilradio.webp  Civil Radio
BookcaseLv1__misc_b_flashlight.webp  Flash light
BookcaseLv1__misc_b_lightbulb.webp  Energy-saving lamp
BookcaseLv1__misc_b_socket.webp  Socket
CoffeeMakerLv1__misc_b_gastank.webp  Gas can
CoffeeMakerLv1__misc_b_plier_large.webp  Large Plier
CoffeeMakerLv1__misc_b_wirecutting.webp  Wire Cutter
CoffeeMakerLv1__misc_wastechip.webp  wastechip
CryptoMiningLv2__misc_b_pcfan.webp  CPU Fan
CryptoMiningLv2__misc_b_ram.webp  RAM
CryptoMiningLv2__misc_cpu.webp  CPU
CryptoMiningLv2__misc_floppydisk.webp  Floppydisk
GeneratorLv2__misc_b_insulatingtape.webp  Insulating Tape
GeneratorLv2__misc_b_lighterfluid.webp  Lighter fluid
GeneratorLv2__misc_b_sparkplug.webp  Spark Plug
#hard  GeneratorLv2__misc_oilcan.webp  Oil can
GunsmithLv2__misc_b_ceramic_adhesive.webp  Ceramic adhesive
GunsmithLv2__misc_b_nail.webp  Boxed Nails
GunsmithLv2__misc_b_pipeline.webp  Valve
GunsmithLv2__misc_floppydisk.webp  Floppydisk
KitchenAreaLv2__misc_b_gastank.webp  Gas can
KitchenAreaLv2__misc_b_insulatingtape.webp  Insulating Tape
KitchenAreaLv2__misc_b_pesticide.webp  Pesticide
KitchenAreaLv2__misc_b_wd40.webp  WD-40
MicrowaveOvenLv1__misc_b_moldboard.webp  Moldboard
MicrowaveOvenLv1__misc_b_oliveoil.webp  Olive oil
MicrowaveOvenLv1__misc_b_plier_large.webp  Large Plier
MicrowaveOvenLv1__misc_b_tire_sealant.webp  Tire Sealant
MoreitemLv2__misc_b_militaryusbdrive.webp  USB - classified
MoreitemLv2__misc_b_oldphone.webp  OldPhone
MoreitemLv2__misc_b_powerbank.webp  Power Bank
MoreitemLv2__misc_b_recorder.webp  Recorder
PlantingLv1__misc_b_disinfectingwipes.webp  Disinfectant wipes
PlantingLv1__misc_b_insulatingtape.webp  Insulating Tape
PlantingLv1__misc_b_lightbulb.webp  Energy-saving lamp
PlantingLv1__misc_b_pipeline.webp  Valve
QualityLv1__misc_b_powerbank.webp  Power Bank
QualityLv1__misc_b_ram.webp  RAM
QualityLv1__misc_b_recorder.webp  Recorder
QualityLv1__misc_b_tape.webp  Tape
RefrigeratorLv1__misc_b_plier_large.webp  Large Plier
RefrigeratorLv1__misc_b_spraycan.webp  Spray can
RefrigeratorLv1__misc_blimbingrope.webp  Climbing rope
#hard  RefrigeratorLv1__misc_oilcan.webp  Oil can
RestRoomLv2__misc_b_beardoil.webp  BeardOil
RestRoomLv2__misc_b_shampoo.webp  Pet Shampoo
RestRoomLv2__misc_b_toiletpaper.webp  Toilet Paper
RestRoomLv2__misc_barcleaner.webp  Cleaner
SofaLv1__misc_b_plier_large.webp  Large Plier
SofaLv1__misc_b_tire_sealant.webp  Tire Sealant
SofaLv1__misc_blimbingrope.webp  Climbing rope
SofaLv1__misc_hammer.webp  Hammer
StorageZoneLock2Lv1__misc_b_batter_large.webp  Storage Battery
StorageZoneLock2Lv1__misc_b_gastank_large.webp  Large gas can
StorageZoneLock2Lv1__misc_b_wrench.webp  Wrench
StorageZoneLock2Lv1__misc_screwdriver.webp  Screwdriver
StorageZoneLock3Lv1__misc_b_piezometer.webp  Piezometer
StorageZoneLock3Lv1__misc_b_smokelesspowder.webp  Smokeless powder
StorageZoneLock3Lv1__misc_b_visionmodule.webp  Imaging module
StorageZoneLock3Lv1__misc_gunpowder.webp  Gunpowder
StoragevaluableLv2__misc_b_storagebattery.webp  Vehicle battery
StoragevaluableLv2__misc_b_wirecutting.webp  Wire Cutter
StoragevaluableLv2__misc_screwdriver.webp  Screwdriver
StoragevaluableLv2__misc_wastechip.webp  wastechip
WaterCollectorLv2__misc_b_insulatingtape.webp  Insulating Tape
WaterCollectorLv2__misc_b_nail.webp  Boxed Nails
WaterCollectorLv2__misc_b_pipeline.webp  Valve
WaterCollectorLv2__misc_b_spraycan.webp  Spray can
